X,Y,Height
280,2900,1.98474
290,2900,1.72657
300,2900,1.72682
0,3000,3.53613
10,3000,2.60331
20,3000,2.6109
30,3000,2.6191
40,3000,2.62759
50,3000,2.63639
60,3000,2.64588
70,3000,2.65571
80,3000,2.66586
90,3000,2.67679
100,3000,2.68804
110,3000,2.70009
120,3000,2.71239
130,3000,2.72541
140,3000,2.73846
150,3000,2.75192
160,3000,2.76548
170,3000,2.77788
180,3000,2.78966
190,3000,2.79786
200,3000,2.80098
210,3000,2.79608
220,3000,2.7765
230,3000,2.73419
240,3000,2.65876
250,3000,2.53499
260,3000,2.34882
270,3000,2.11383
280,3000,1.90717
290,3000,1.72221
300,3000,1.72682
