Exper_x1,Pre_x1,Exper_x2,Pre_x2,Exper_x3,Pre_x3,Exper_x4,Pre_x4,Exper_x5,Pre_x5,Exper_x6,Pre_x6
0.91368,0.86079,0.79695,0.88529,0.96326,0.97709,,,,,,
0.89724,0.87309,0.79695,0.88529,0.96326,0.97709,,,,,,
0.92104,0.91306,0.8212,0.82687,0.99319,0.98989,,,,,,
0.9338,0.87808,0.82647,0.81511,0.98837,0.95115,,,,,,
0.93578,0.8508,0.82647,0.81511,0.99319,0.93385,,,,,,
0.96327,0.87309,0.89025,0.82687,1.01221,0.95322,,,,,,
0.93578,0.90537,0.89025,0.82687,0.96782,0.9252,,,,,,
0.9576,0.92305,0.87312,0.84539,,,,,,,,
0.9576,0.92305,0.86099,0.8828,,,,,,,,
0.97036,0.92536,0.88524,0.8828,,,,,,,,
0.99615,0.97763,0.93162,0.90132,,,,,,,,
0.99972,0.99493,0.96456,0.90132,,,,,,,,
,,0.96456,0.90132,,,,,,,,
,,0.85572,0.92484,,,,,,,,
,,0.88339,0.93659,,,,,,,,
,,0.88339,0.93659,,,,,,,,
,,0.87812,0.97365,,,,,,,,
,,0.92319,0.94586,,,,,,,,
,,0.93689,0.94586,,,,,,,,
,,0.93162,0.96688,,,,,,,,
,,0.95244,0.97151,,,,,,,,
,,0.96456,0.9854,,,,,,,,
,,0.97668,0.9854,,,,,,,,
,,1.00251,0.96688,,,,,,,,
,,1.00594,0.99003,,,,,,,,
,,1.02333,0.9854,,,,,,,,
