%
%
% Run:V1    Table:COMPGRID          SWAN version:41.31AB
%
%       Xp            Yp            Hsig        X-Windv       Y-Windv    
%       [m]           [m]           [m]           [m/s]         [m/s]    
%
          28.          240.       0.02938        0.0000        0.0000 
          29.          240.       0.02848        0.0000        0.0000 
          30.          240.       0.02764        0.0000        0.0000 
          31.          240.       0.02685        0.0000        0.0000 
          32.          240.       0.02610        0.0000        0.0000 
          33.          240.       0.02539        0.0000        0.0000 
          34.          240.       0.02472        0.0000        0.0000 
          35.          240.       0.02409        0.0000        0.0000 
          36.          240.       0.02348        0.0000        0.0000 
          37.          240.       0.02291        0.0000        0.0000 
          38.          240.       0.02236        0.0000        0.0000 
          39.          240.       0.02184        0.0000        0.0000 
          40.          240.       0.02134        0.0000        0.0000 
          41.          240.       0.02087        0.0000        0.0000 
          42.          240.       0.02041        0.0000        0.0000 
          43.          240.       0.01998        0.0000        0.0000 
          44.          240.       0.01956        0.0000        0.0000 
          45.          240.       0.01916        0.0000        0.0000 
          46.          240.       0.01878        0.0000        0.0000 
          47.          240.       0.01841        0.0000        0.0000 
          48.          240.       0.01805        0.0000        0.0000 
          49.          240.       0.01771        0.0000        0.0000 
          50.          240.       0.01739        0.0000        0.0000 
           0.          250.       0.28347        0.0000        0.0000 
           1.          250.       0.23190        0.0000        0.0000 
           2.          250.       0.18825        0.0000        0.0000 
           3.          250.       0.15502        0.0000        0.0000 
           4.          250.       0.13063        0.0000        0.0000 
           5.          250.       0.11272        0.0000        0.0000 
           6.          250.       0.09931        0.0000        0.0000 
